Employee Count,Employee ID,Department,Job Role,Gender,Age,Marital Status,Education,Education Field,Business Travel,Distance From Home (kms),Job Involvement,Job Level,Job Satisfaction,Monthly Income (USD),Salary Hike (%),Stock Option Level,Over Time,No. of Companies Worked,Total Working Years,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager,Environment Satisfaction,Training Times Last Year,Work Life Balance,Relationship Satisfaction,Attrition (Yes/No)
1,1,Sales,Sales Executive,Female,41,Single,College,Life Sciences,Travel_Rarely,1,High,2,Very High,5993,11,0,Yes,2,8,6,4,0,5,Medium,0,Bad,Low,Yes
1,2,Research & Development,Research Scientist,Male,49,Married,Below College,Life Sciences,Travel_Frequently,8,Medium,2,Medium,5130,23,1,No,1,10,10,7,1,7,High,3,Better,Very High,No
1,4,Research & Development,Laboratory Technician,Male,37,Single,College,Other,Travel_Rarely,2,Medium,1,High,2090,15,0,Yes,6,7,0,0,0,0,Low,3,Bad,Medium,Yes
1,5,Research & Development,Research Scientist,Female,33,Married,Master,Life Sciences,Travel_Frequently,3,High,1,High,2909,11,0,Yes,1,8,8,7,3,0,Very High,3,Better,High,No
1,7,Research & Development,Laboratory Technician,Male,27,Married,Below College,Medical,Travel_Rarely,2,High,1,Medium,3468,12,1,No,9,6,2,2,2,2,Low,3,Better,Very High,No
1,8,Research & Development,Laboratory Technician,Male,32,Single,College,Life Sciences,Travel_Frequently,2,High,1,Very High,3068,13,0,No,0,8,7,7,3,6,Very High,2,Good,High,No
1,10,Research & Development,Laboratory Technician,Female,59,Married,Bachelor,Medical,Travel_Rarely,3,Very High,1,Low,2670,20,3,Yes,4,12,1,0,0,0,High,3,Good,Low,No
1,11,Research & Development,Laboratory Technician,Male,30,Divorced,Below College,Life Sciences,Travel_Rarely,24,High,1,High,2693,22,1,No,1,1,1,0,0,0,Very High,2,Better,Medium,No
1,12,Research & Development,Manufacturing Director,Male,38,Single,Bachelor,Life Sciences,Travel_Frequently,23,Medium,3,High,9526,21,0,No,0,10,9,7,1,8,Very High,2,Better,Medium,No
1,13,Research & Development,Healthcare Representative,Male,36,Married,Bachelor,Medical,Travel_Rarely,27,High,2,High,5237,13,2,No,6,17,7,7,7,7,High,3,Good,Medium,No
1,14,Research & Development,Laboratory Technician,Male,35,Married,Bachelor,Medical,Travel_Rarely,16,Very High,1,Medium,2426,13,1,No,0,6,5,4,0,3,Low,5,Better,High,No
1,15,Research & Development,Laboratory Technician,Female,29,Single,College,Life Sciences,Travel_Rarely,15,Medium,2,High,4193,12,0,Yes,0,10,9,5,0,8,Very High,3,Better,Very High,No
1,16,Research & Development,Research Scientist,Male,31,Divorced,Below College,Life Sciences,Travel_Rarely,26,High,1,High,2911,17,1,No,1,5,5,2,4,3,Low,1,Good,Very High,No
1,18,Research & Development,Laboratory Technician,Male,34,Divorced,College,Medical,Travel_Rarely,19,High,1,Very High,2661,11,1,No,0,3,2,2,1,2,Medium,2,Better,High,No
1,19,Research & Development,Laboratory Technician,Male,28,Single,Bachelor,Life Sciences,Travel_Rarely,24,Medium,1,High,2028,14,0,Yes,5,6,4,2,0,3,Low,4,Bad,Medium,Yes
1,20,Research & Development,Manufacturing Director,Female,29,Divorced,Master,Life Sciences,Travel_Rarely,21,Very High,3,Low,9980,11,1,No,1,10,10,9,8,8,Medium,1,Better,High,No
1,21,Research & Development,Research Scientist,Male,32,Divorced,College,Life Sciences,Travel_Rarely,5,Very High,1,Medium,3298,12,2,Yes,0,7,6,2,0,5,Low,5,Good,Very High,No
1,22,Research & Development,Laboratory Technician,Male,22,Divorced,College,Medical,Non-Travel,16,Very High,1,Very High,2935,13,2,Yes,1,1,1,0,0,0,Very High,2,Good,Medium,No
1,23,Sales,Manager,Female,53,Married,Master,Life Sciences,Travel_Rarely,2,Medium,4,Very High,15427,16,0,No,2,31,25,8,3,7,Low,3,Better,High,No
1,24,Research & Development,Research Scientist,Male,38,Single,Bachelor,Life Sciences,Travel_Rarely,2,High,1,Very High,3944,11,0,Yes,5,6,3,2,1,2,Very High,3,Better,High,No
1,26,Research & Development,Manufacturing Director,Female,24,Divorced,College,Other,Non-Travel,11,Very High,2,High,4011,18,1,No,0,5,4,2,1,3,Low,5,Good,Very High,No
1,27,Sales,Sales Representative,Male,36,Single,Master,Life Sciences,Travel_Rarely,9,Medium,1,Low,3407,14,0,No,7,10,5,3,0,3,Low,4,Bad,Medium,Yes
1,28,Research & Development,Research Director,Female,34,Single,Master,Life Sciences,Travel_Rarely,7,High,3,Medium,11994,11,0,No,0,13,12,6,2,11,Low,4,Better,High,No
1,30,Research & Development,Research Scientist,Male,21,Single,College,Life Sciences,Travel_Rarely,15,High,1,Very High,1232,14,0,No,1,0,0,0,0,0,High,6,Better,Very High,No
1,31,Research & Development,Research Scientist,Male,34,Single,Below College,Medical,Travel_Rarely,6,High,1,Low,2960,11,0,No,2,8,4,2,1,3,Medium,2,Bad,Low,Yes
1,32,Research & Development,Manager,Female,53,Divorced,Bachelor,Other,Travel_Rarely,5,High,5,High,19094,11,1,No,4,26,14,13,4,8,High,3,Good,Very High,No
1,33,Research & Development,Research Scientist,Female,32,Single,Below College,Life Sciences,Travel_Frequently,16,Low,1,Low,3919,13,0,Yes,1,10,10,2,6,7,Medium,5,Bad,Medium,Yes
1,35,Sales,Sales Executive,Male,42,Married,Master,Marketing,Travel_Rarely,8,High,2,Medium,6825,11,1,No,0,10,9,7,4,2,High,2,Better,Very High,No
1,36,Research & Development,Healthcare Representative,Female,44,Married,Master,Medical,Travel_Rarely,7,Medium,3,Very High,10248,14,1,No,3,24,22,6,5,17,Low,4,Better,Very High,No
1,38,Sales,Manager,Female,46,Single,Master,Marketing,Travel_Rarely,2,High,5,Low,18947,12,0,No,3,22,2,2,2,1,Medium,2,Good,Very High,No
1,39,Research & Development,Laboratory Technician,Male,33,Single,Bachelor,Medical,Travel_Rarely,2,High,1,Very High,2496,11,0,No,4,7,1,1,0,0,High,3,Better,Very High,No
1,40,Research & Development,Healthcare Representative,Male,44,Married,Master,Other,Travel_Rarely,10,High,2,Very High,6465,13,0,Yes,2,9,4,2,1,3,Very High,5,Best,Very High,No
1,41,Research & Development,Laboratory Technician,Male,30,Single,College,Medical,Travel_Rarely,9,Medium,1,High,2206,13,0,No,1,10,10,0,1,8,Very High,5,Better,Low,No
1,42,Sales,Sales Representative,Male,39,Married,Bachelor,Technical Degree,Travel_Rarely,5,High,2,Very High,2086,14,1,No,3,19,1,0,0,0,Low,6,Good,High,Yes
1,45,Research & Development,Research Scientist,Male,24,Married,Bachelor,Medical,Travel_Rarely,1,High,1,Very High,2293,16,1,Yes,2,6,2,0,2,0,Medium,2,Good,Low,Yes
1,46,Research & Development,Research Scientist,Female,43,Divorced,College,Medical,Travel_Rarely,2,Very High,1,High,2645,12,2,No,1,6,5,3,1,4,Very High,3,Good,Very High,No
1,47,Sales,Sales Representative,Male,50,Married,College,Marketing,Travel_Rarely,3,Medium,1,High,2683,14,0,Yes,1,3,3,2,0,2,Low,2,Good,High,Yes
1,49,Sales,Sales Representative,Female,35,Married,Bachelor,Marketing,Travel_Rarely,2,High,1,Very High,2014,13,0,No,1,2,2,2,2,2,Very High,3,Better,Low,No
1,51,Research & Development,Research Scientist,Female,36,Married,Master,Life Sciences,Travel_Rarely,5,Medium,1,Low,3419,14,1,Yes,9,6,1,1,0,0,Medium,3,Best,Very High,No
1,52,Sales,Sales Executive,Female,33,Married,Bachelor,Life Sciences,Travel_Frequently,1,Very High,2,Low,5376,19,2,No,2,10,5,3,1,3,High,3,Better,Low,No
1,53,Research & Development,Laboratory Technician,Male,35,Divorced,College,Other,Travel_Rarely,4,High,1,Very High,1951,12,1,No,1,1,1,0,0,0,High,3,Better,High,No
1,54,Research & Development,Laboratory Technician,Female,27,Divorced,Master,Life Sciences,Travel_Rarely,2,High,1,Low,2341,13,1,No,1,1,1,0,0,0,Very High,6,Better,Very High,No
1,55,Research & Development,Laboratory Technician,Male,26,Single,Bachelor,Life Sciences,Travel_Rarely,25,Low,1,High,2293,12,0,No,1,1,1,0,0,1,Low,2,Good,High,Yes
1,56,Sales,Sales Executive,Male,27,Single,Bachelor,Life Sciences,Travel_Frequently,8,High,3,High,8726,15,0,No,1,9,9,8,1,7,Very High,0,Better,Very High,No
1,57,Research & Development,Laboratory Technician,Female,30,Single,College,Medical,Travel_Frequently,1,High,2,Very High,4011,23,0,No,1,12,12,8,3,7,High,2,Better,Very High,No
1,58,Research & Development,Research Director,Female,41,Married,Bachelor,Technical Degree,Travel_Rarely,12,High,5,High,19545,12,0,No,1,23,22,15,15,8,Medium,0,Bad,Low,Yes
1,60,Sales,Sales Executive,Male,34,Single,Master,Marketing,Non-Travel,23,High,2,High,4568,20,0,No,0,10,9,5,8,7,Medium,2,Bad,High,No
1,61,Research & Development,Research Scientist,Male,37,Married,College,Life Sciences,Travel_Rarely,19,High,1,Medium,3022,21,0,No,4,8,1,0,0,0,Medium,1,Bad,Low,No
1,62,Sales,Sales Executive,Male,46,Single,Master,Marketing,Travel_Frequently,5,High,2,Very High,5772,21,0,Yes,4,14,9,6,0,8,Low,4,Bad,High,No
1,63,Research & Development,Laboratory Technician,Male,35,Married,Below College,Life Sciences,Travel_Rarely,8,Very High,1,Very High,2269,19,0,No,1,1,1,0,0,1,Very High,2,Bad,Very High,No
1,64,Research & Development,Laboratory Technician,Male,48,Single,College,Life Sciences,Travel_Rarely,1,Medium,3,High,5381,13,0,Yes,9,23,1,0,0,0,Low,2,Bad,Low,Yes
1,65,Research & Development,Laboratory Technician,Male,28,Single,Master,Technical Degree,Travel_Rarely,5,High,1,High,3441,13,0,Yes,1,2,2,2,2,2,High,3,Bad,Low,Yes
1,68,Sales,Sales Executive,Female,44,Divorced,Doctor,Marketing,Travel_Rarely,1,High,2,Low,5454,21,1,Yes,5,9,4,3,1,3,Medium,2,Good,High,No
1,70,Research & Development,Healthcare Representative,Male,35,Married,College,Medical,Non-Travel,11,Medium,3,Low,9884,13,1,Yes,2,10,4,0,2,3,High,3,Better,High,No
1,72,Sales,Sales Executive,Female,26,Married,Bachelor,Marketing,Travel_Rarely,23,Medium,2,Very High,4157,19,1,Yes,7,5,2,2,0,0,High,2,Good,High,No
1,73,Research & Development,Research Director,Female,33,Single,College,Life Sciences,Travel_Frequently,1,High,3,Very High,13458,12,0,Yes,1,15,15,14,8,12,Low,1,Better,High,No
1,74,Sales,Sales Executive,Male,35,Married,Doctor,Life Sciences,Travel_Frequently,18,High,3,Low,9069,22,1,No,1,9,9,8,1,8,Medium,3,Good,Very High,No
1,75,Research & Development,Laboratory Technician,Female,35,Married,Master,Medical,Travel_Rarely,23,High,1,Low,4014,15,1,Yes,3,4,2,2,2,2,High,3,Better,High,No
1,76,Research & Development,Laboratory Technician,Male,31,Divorced,Master,Life Sciences,Travel_Rarely,7,High,2,Very High,5915,22,1,No,3,10,7,7,1,7,Very High,3,Good,Very High,No
1,77,Research & Development,Manufacturing Director,Male,37,Divorced,Master,Life Sciences,Travel_Rarely,1,Medium,2,High,5993,18,1,No,1,7,7,5,0,7,Low,2,Best,High,No
1,78,Research & Development,Manufacturing Director,Male,32,Married,Bachelor,Medical,Travel_Rarely,1,High,2,Very High,6162,22,1,Yes,1,9,9,8,7,8,Low,3,Better,Medium,No
1,79,Research & Development,Laboratory Technician,Female,38,Single,Doctor,Life Sciences,Travel_Frequently,29,High,2,Very High,2406,11,0,No,1,10,10,3,9,9,Very High,2,Better,Very High,No
1,80,Research & Development,Research Director,Female,50,Divorced,College,Medical,Travel_Rarely,7,Medium,5,High,18740,12,1,Yes,5,29,27,3,13,8,Medium,2,Good,Very High,No
1,81,Sales,Sales Executive,Female,59,Single,Bachelor,Life Sciences,Travel_Rarely,25,High,3,Low,7637,11,0,No,7,28,21,16,7,9,Low,3,Good,Very High,No
1,83,Research & Development,Healthcare Representative,Female,36,Divorced,Bachelor,Technical Degree,Travel_Rarely,8,High,3,High,10096,13,3,No,1,17,17,14,12,8,High,2,Better,Medium,No
1,84,Research & Development,Manager,Female,55,Divorced,Bachelor,Medical,Travel_Rarely,8,High,4,High,14756,14,3,Yes,2,21,5,0,0,2,Very High,2,Better,High,No
1,85,Research & Development,Manufacturing Director,Male,36,Single,Bachelor,Life Sciences,Travel_Frequently,11,Medium,2,Medium,6499,13,0,No,1,6,6,5,0,3,Medium,3,Better,High,No
1,86,Research & Development,Research Scientist,Male,45,Divorced,Bachelor,Life Sciences,Travel_Rarely,7,High,3,Low,9724,17,1,No,2,25,1,0,0,0,Medium,2,Better,High,No
1,88,Research & Development,Research Scientist,Male,35,Married,Bachelor,Medical,Travel_Frequently,1,High,1,Low,2194,13,1,No,4,5,3,2,1,2,Medium,2,Good,Very High,No
1,90,Research & Development,Research Scientist,Male,36,Married,Bachelor,Medical,Travel_Rarely,9,Medium,1,High,3388,17,1,Yes,0,2,1,0,0,0,Very High,0,Bad,Low,Yes
1,91,Sales,Sales Executive,Female,59,Single,Below College,Life Sciences,Travel_Frequently,1,Medium,2,High,5473,11,0,No,7,20,4,3,1,3,Low,2,Good,Very High,No
1,94,Research & Development,Research Scientist,Male,29,Married,Bachelor,Life Sciences,Travel_Rarely,2,High,1,Medium,2703,23,1,No,0,6,5,4,0,4,High,3,Better,Very High,No
1,95,Research & Development,Research Scientist,Male,31,Single,Master,Medical,Travel_Rarely,1,High,1,Medium,2501,17,0,No,1,1,1,1,1,0,High,4,Better,Medium,No
1,96,Research & Development,Research Scientist,Male,32,Married,Bachelor,Life Sciences,Travel_Rarely,1,High,2,Medium,6220,17,2,No,1,10,10,4,0,9,Medium,3,Better,Medium,No
1,97,Research & Development,Laboratory Technician,Female,36,Married,Bachelor,Life Sciences,Travel_Rarely,6,Very High,1,Very High,3038,12,0,No,3,5,1,0,0,0,Medium,3,Better,Medium,No
1,98,Research & Development,Manufacturing Director,Female,31,Single,Master,Life Sciences,Travel_Rarely,8,High,2,Very High,4424,23,0,No,1,11,11,7,1,8,High,2,Better,Very High,No
1,100,Sales,Sales Executive,Male,35,Single,Master,Marketing,Travel_Rarely,1,Medium,2,Low,4312,14,0,No,0,16,15,13,2,8,High,2,Better,Medium,No
1,101,Research & Development,Research Director,Male,45,Married,Master,Other,Travel_Rarely,6,High,3,Low,13245,14,0,Yes,4,17,0,0,0,0,Very High,3,Best,Medium,No
1,102,Research & Development,Research Director,Male,37,Single,Master,Medical,Travel_Rarely,7,High,3,High,13664,13,0,No,4,16,5,2,0,2,Low,3,Best,Low,No
1,103,Human Resources,Human Resources,Male,46,Divorced,College,Medical,Travel_Rarely,5,High,2,Medium,5021,22,1,Yes,8,16,4,2,0,2,Medium,2,Better,Very High,No
1,104,Research & Development,Laboratory Technician,Male,30,Married,Below College,Life Sciences,Travel_Rarely,1,Medium,2,Very High,5126,12,2,Yes,1,10,10,8,3,0,Very High,1,Good,High,No
1,105,Research & Development,Research Scientist,Male,35,Single,Bachelor,Medical,Travel_Rarely,1,Medium,1,High,2859,18,0,No,1,6,6,4,0,4,Medium,3,Better,Low,No
1,106,Sales,Sales Executive,Male,55,Married,College,Life Sciences,Travel_Rarely,1,High,3,Very High,10239,14,1,No,3,24,1,0,1,0,Low,4,Better,Very High,No
1,107,Research & Development,Research Scientist,Female,38,Divorced,Bachelor,Medical,Non-Travel,6,Low,2,Very High,5329,12,3,Yes,7,17,13,11,1,9,Medium,3,Better,Very High,No
1,110,Research & Development,Manufacturing Director,Male,34,Married,College,Medical,Travel_Rarely,1,High,2,Medium,4325,15,0,No,1,5,5,2,1,3,Low,2,Better,High,No
1,112,Research & Development,Manufacturing Director,Male,56,Single,Bachelor,Life Sciences,Travel_Rarely,7,Low,3,Very High,7260,11,0,No,4,37,6,4,0,2,Very High,3,Good,Low,No
1,113,Sales,Sales Representative,Male,23,Divorced,Below College,Technical Degree,Travel_Rarely,2,High,1,Low,2322,13,1,No,3,3,0,0,0,0,High,3,Better,High,No
1,116,Research & Development,Laboratory Technician,Male,51,Married,Master,Life Sciences,Travel_Rarely,9,High,1,Very High,2075,23,2,No,3,10,4,2,0,3,Very High,4,Better,Medium,No
1,117,Research & Development,Healthcare Representative,Male,30,Married,Bachelor,Life Sciences,Travel_Rarely,2,Medium,2,Very High,4152,19,3,No,1,11,11,10,10,8,High,3,Better,Low,No
1,118,Sales,Sales Executive,Male,46,Single,College,Medical,Travel_Rarely,9,Medium,3,Very High,9619,16,0,No,1,9,9,8,4,7,High,3,Bad,Low,Yes
1,119,Research & Development,Healthcare Representative,Male,40,Married,Master,Life Sciences,Travel_Frequently,1,Medium,4,Medium,13503,22,1,No,1,22,22,3,11,11,High,3,Good,Very High,No
1,120,Sales,Sales Executive,Male,51,Single,Master,Marketing,Travel_Rarely,21,High,2,Very High,5441,22,0,Yes,0,11,10,7,1,0,High,2,Bad,Very High,No
1,121,Sales,Sales Executive,Female,30,Divorced,College,Medical,Travel_Rarely,4,Medium,2,Medium,5209,12,3,Yes,1,11,11,8,2,7,High,4,Good,Medium,No
1,124,Research & Development,Healthcare Representative,Male,46,Married,Bachelor,Medical,Travel_Frequently,1,Medium,3,Low,10673,13,1,Yes,2,21,10,9,9,5,High,5,Good,High,No
1,125,Sales,Sales Executive,Male,32,Single,Master,Medical,Travel_Rarely,6,High,2,High,5010,16,0,No,1,12,11,8,5,7,Medium,0,Better,Low,No
1,126,Research & Development,Research Director,Female,54,Married,Master,Technical Degree,Travel_Rarely,2,High,3,High,13549,12,1,No,9,16,4,3,0,3,Low,5,Bad,Low,No
1,128,Sales,Sales Executive,Female,24,Married,College,Other,Travel_Rarely,3,High,2,High,4999,21,1,No,0,4,3,2,0,2,Low,2,Good,Low,No
1,129,Sales,Sales Executive,Male,28,Married,Bachelor,Medical,Non-Travel,4,High,2,High,4221,15,0,No,1,5,5,4,0,4,Medium,3,Best,Medium,No
1,131,Sales,Sales Executive,Male,58,Single,Master,Medical,Travel_Rarely,10,High,4,High,13872,13,0,No,0,38,37,10,1,8,Very High,1,Good,High,No
1,132,Research & Development,Laboratory Technician,Male,44,Married,Bachelor,Medical,Non-Travel,23,High,2,Medium,2042,12,1,No,4,17,3,2,1,2,Medium,3,Best,High,No
1,133,Human Resources,Human Resources,Male,37,Divorced,Master,Human Resources,Travel_Rarely,6,High,1,Low,2073,12,0,Yes,4,7,3,2,0,2,High,3,Bad,Low,Yes
1,134,Research & Development,Research Scientist,Male,32,Single,Below College,Life Sciences,Travel_Rarely,1,High,1,Low,2956,13,0,No,1,1,1,0,0,0,Very High,2,Better,Very High,No
1,137,Research & Development,Laboratory Technician,Female,20,Single,Bachelor,Life Sciences,Travel_Frequently,6,Medium,1,Very High,2926,18,0,Yes,1,1,1,0,1,0,Very High,5,Bad,Medium,Yes
1,138,Research & Development,Research Scientist,Female,34,Single,Master,Other,Travel_Rarely,6,High,2,High,4809,14,0,No,1,16,16,13,2,10,Low,3,Better,High,No
1,139,Research & Development,Healthcare Representative,Male,37,Divorced,College,Life Sciences,Non-Travel,2,Medium,2,Very High,5163,14,1,No,5,17,1,0,0,0,High,2,Best,Very High,No
1,140,Human Resources,Manager,Female,59,Married,Master,Human Resources,Non-Travel,2,Medium,5,Very High,18844,21,1,No,9,30,3,2,2,2,High,3,Better,Very High,No
1,141,Research & Development,Research Director,Female,50,Married,Bachelor,Life Sciences,Travel_Frequently,1,High,5,Medium,18172,19,0,Yes,3,28,8,3,0,7,Low,1,Good,Low,No
1,142,Sales,Sales Executive,Male,25,Single,Bachelor,Marketing,Travel_Rarely,5,Medium,2,High,5744,11,0,Yes,1,6,6,4,0,3,High,1,Bad,Medium,Yes
1,143,Research & Development,Research Scientist,Male,25,Married,Below College,Medical,Travel_Rarely,7,Medium,1,Very High,2889,11,2,No,1,2,2,2,2,1,Very High,2,Better,High,No
1,144,Research & Development,Laboratory Technician,Female,22,Single,Bachelor,Medical,Travel_Rarely,15,High,1,Very High,2871,15,0,No,1,1,0,0,0,0,Medium,5,Better,High,No
1,145,Research & Development,Healthcare Representative,Female,51,Single,Master,Medical,Travel_Frequently,1,Medium,3,Low,7484,20,0,No,3,23,13,12,12,8,Low,1,Good,High,No
1,147,Research & Development,Laboratory Technician,Male,34,Single,Bachelor,Life Sciences,Travel_Frequently,7,Low,2,High,6074,12,0,Yes,1,9,9,7,0,6,Low,3,Bad,Medium,Yes
1,148,Human Resources,Manager,Female,54,Single,Bachelor,Human Resources,Non-Travel,26,Very High,4,Very High,17328,12,0,Yes,2,23,5,3,4,4,Very High,3,Better,High,No
1,150,Research & Development,Laboratory Technician,Male,24,Married,Below College,Life Sciences,Travel_Rarely,18,High,1,High,2774,12,1,No,0,6,5,3,1,2,Medium,2,Better,High,No
1,151,Research & Development,Research Scientist,Female,34,Divorced,Master,Life Sciences,Travel_Rarely,6,Medium,2,Medium,4505,15,1,No,6,12,1,0,0,0,High,3,Better,High,No
1,152,Sales,Sales Executive,Male,37,Single,Bachelor,Life Sciences,Travel_Rarely,3,High,3,Very High,7428,12,0,No,2,12,5,3,1,3,High,3,Better,Low,No
1,153,Research & Development,Manager,Female,34,Single,Bachelor,Medical,Travel_Rarely,5,Medium,3,Low,11631,12,0,No,2,14,11,10,5,8,High,6,Better,Very High,No
1,154,Sales,Sales Executive,Female,36,Married,College,Technical Degree,Travel_Frequently,11,High,3,Very High,9738,14,1,No,0,10,9,7,2,8,Medium,6,Better,High,No
1,155,Research & Development,Laboratory Technician,Female,36,Divorced,College,Life Sciences,Travel_Rarely,3,High,1,Very High,2835,22,1,No,5,7,1,0,0,0,Low,2,Better,Low,No
1,158,Sales,Manager,Male,43,Married,College,Life Sciences,Travel_Frequently,26,High,4,Very High,16959,12,2,Yes,1,25,25,12,4,12,High,3,Best,Very High,No
1,159,Research & Development,Research Scientist,Male,30,Divorced,Bachelor,Life Sciences,Travel_Frequently,23,Low,1,High,2613,25,3,No,1,10,10,7,0,9,Low,2,Good,High,No
1,160,Sales,Sales Executive,Male,33,Married,College,Marketing,Non-Travel,22,High,2,Medium,6146,13,1,No,0,8,7,7,0,7,High,2,Best,Low,No
1,161,Research & Development,Research Scientist,Female,56,Married,Master,Life Sciences,Travel_Rarely,14,High,1,Medium,4963,16,3,Yes,9,7,5,4,4,3,Medium,2,Bad,Low,Yes
